基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
泓德泓汇混合,002563,8.33亿元（2020-09-30）,15.46%,25.96%,33.91%,88.13%,151.46%,180.13%,蔡丞丰,1年又61天,106.13%,3年又167天
长盛沪港深混合,002732,2.14亿元（2020-09-30）,8.57%,21.10%,30.04%,58.63%,42.50%,71.00%,吴达,4年又190天,71.00%,12年又97天
融通内需驱动混合,161611,2.22亿元（2020-09-30）,3.25%,21.42%,23.98%,49.44%,104.60%,123.12%,范琨,340天,53.92%,4年又341天
兴全合丰三年持有混合,009556,79.17亿元（2020-08-28）,16.40%,21.29%,--,--,--,14.90%,季文华,135天,14.90%,4年又183天
格林伯元灵活配置C,004943,1.37亿元（2020-09-30）,10.67%,26.28%,32.25%,79.67%,--,79.26%,李会忠/宋绍峰,195天,48.70%,5年又294天/2年又39天
人保量化混合A,006225,0.70亿元（2020-09-30）,11.32%,17.99%,8.60%,38.11%,--,63.97%,石晓冉/彬彬,160天,5.01%,160天/1年又361天
汇安丰益混合A,004560,0.00亿元（2020-09-30）,7.61%,15.95%,12.11%,34.63%,56.80%,67.35%,陈欣,272天,42.52%,2年又296天
汇安丰益混合C,004561,0.16亿元（2020-09-30）,7.61%,15.92%,12.06%,34.51%,44.24%,45.67%,陈欣,272天,42.42%,2年又296天
人保量化混合C,006226,0.01亿元（2020-09-30）,11.23%,17.72%,8.20%,37.07%,--,61.09%,石晓冉/彬彬,160天,4.68%,160天/1年又361天
诺安行业轮动混合,320015,1.71亿元（2020-09-30）,9.77%,20.80%,34.08%,53.71%,73.50%,205.58%,韩冬燕,1年又364天,99.88%,5年又68天
银华消费主题混合,161818,4.85亿元（2020-09-30）,17.43%,36.39%,53.90%,104.34%,121.29%,216.53%,薄官辉,2年又80天,282.02%,5年又258天
申万菱信消费增长混合,310388,4.01亿元（2020-09-30）,15.95%,21.77%,31.43%,99.08%,133.36%,360.65%,孙琳/杨扬,188天,36.33%,6年又349天/205天
诺安恒鑫混合,006429,1.93亿元（2020-09-30）,10.08%,21.06%,34.42%,51.57%,--,62.88%,韩冬燕,1年又256天,62.88%,5年又68天
招商大盘蓝筹混合,217010,7.98亿元（2020-09-30）,14.19%,24.23%,32.63%,90.20%,121.16%,462.93%,郭锐,4年又11天,151.39%,8年又186天
金元顺安优质精选混合A,620007,0.07亿元（2020-09-30）,12.81%,22.94%,25.90%,53.63%,53.36%,99.87%,张博/周博洋,2年又282天,61.29%,2年又282天/2年又350天
富国沪港深价值混合C,011131,--亿元（--）,--,--,--,--,--,9.10%,汪孟海,12天,9.10%,5年又95天
金信价值精选混合C,005118,0.21亿元（2020-09-30）,0.90%,3.97%,3.87%,50.67%,29.69%,20.66%,周谧,25天,5.68%,2年又312天
银华长丰混合发起式,008978,3.80亿元（2020-09-30）,13.63%,27.15%,25.80%,--,--,78.96%,胡银玉,284天,78.96%,284天
添富民安增益定开混合C,005330,0.58亿元（2020-09-30）,5.21%,5.39%,6.82%,21.77%,--,32.68%,杨靖/胡昕炜,114天,5.08%,1年又323天/4年又278天
前海联合价值优选混合C,009313,7.37亿元（2020-09-30）,18.50%,30.25%,34.51%,--,--,34.51%,何杰,187天,34.51%,2年又274天
嘉合医疗健康混合,007613,0.66亿元（2020-09-30）,14.95%,16.84%,20.10%,56.86%,--,63.42%,骆海涛/杨彦喆/李国林,20天,7.09%,3年又30天/1年又211天/1年又361天
华安新泰利灵活配置混合A,003799,7.51亿元（2020-09-30）,4.62%,8.67%,13.58%,22.29%,20.92%,32.31%,舒灏/朱才敏,353天,22.18%,2年又193天/6年又53天
前海联合价值优选混合A,009312,14.09亿元（2020-09-30）,18.54%,30.39%,34.78%,--,--,34.78%,何杰,187天,34.78%,2年又274天
易方达积极成长混合,110005,21.29亿元（2020-09-30）,1.94%,13.36%,8.69%,35.62%,34.77%,825.24%,王超,6年又37天,97.33%,7年又260天
广发百发大数据价值混合E,001732,0.68亿元（2020-09-30）,10.23%,21.68%,25.86%,54.70%,35.27%,46.50%,赵杰,1年又143天,68.78%,2年又196天
万家汽车新趋势混合C,006234,0.37亿元（2020-09-30）,15.90%,24.56%,32.79%,83.91%,--,105.83%,李文宾,1年又80天,105.83%,3年又362天
圆信永丰双利C,000825,0.23亿元（2020-09-30）,9.42%,16.21%,23.75%,47.56%,52.60%,292.61%,李明阳,1年又75天,53.73%,3年又37天
富国沪港深价值混合A,001371,67.79亿元（2020-09-30）,13.72%,18.21%,24.47%,63.08%,74.34%,159.22%,汪孟海,2年又169天,77.41%,5年又95天
华夏大盘精选混合,000011,49.03亿元（2020-09-30）,7.85%,21.70%,36.62%,53.24%,70.84%,4067.33%,陈伟彦,3年又254天,118.80%,5年又54天
宝盈互联网沪港深混合,002482,8.50亿元（2020-09-30）,12.05%,18.89%,15.09%,75.61%,154.81%,209.60%,张仲维,3年又114天,166.44%,5年又150天
上投摩根成长动力混合,000073,3.83亿元（2020-09-30）,19.14%,27.60%,30.99%,91.24%,103.92%,188.96%,刘辉,4年又257天,161.74%,8年又305天
大成睿享混合C,008270,0.70亿元（2020-09-30）,-2.16%,6.11%,6.18%,15.50%,--,15.56%,徐彦,1年又12天,15.56%,6年又328天
鹏华产业精选,005812,10.03亿元（2020-09-30）,15.68%,33.05%,38.26%,101.82%,--,155.46%,王宗合,1年又11天,99.91%,10年又16天
光大中国制造2025混合,001740,9.12亿元（2020-09-30）,13.93%,32.01%,37.46%,69.15%,63.76%,163.66%,崔书田/魏晓雪,193天,52.38%,193天/8年又58天
新华鑫动力灵活配置混合C,002084,0.75亿元（2020-09-30）,32.25%,67.80%,64.04%,138.66%,146.93%,156.56%,刘彬,319天,110.30%,1年又319天
万家科创3年封闭混合A,501075,14.80亿元（2020-09-30）,10.49%,16.39%,17.83%,50.63%,--,78.28%,李文宾,160天,10.15%,3年又362天
景顺长城优选混合,260101,49.08亿元（2020-09-30）,5.02%,18.83%,22.37%,56.47%,89.80%,1815.13%,杨锐文,5年又284天,152.13%,6年又79天
泓德泓信混合,002801,5.42亿元（2020-09-30）,16.19%,27.21%,37.79%,91.14%,120.02%,128.60%,蔡丞丰,1年又61天,104.84%,3年又167天
融通新蓝筹混合,161601,20.21亿元（2020-09-30）,11.33%,17.48%,22.84%,52.89%,45.61%,631.84%,何龙,1年又9天,51.16%,5年又136天
银华盛利混合发起式,006348,4.51亿元（2020-09-30）,14.62%,30.11%,23.85%,70.97%,--,161.22%,向伊达/李旻,206天,46.81%,1年又31天/3年又48天
交银数据产业灵活配置混合,519773,51.71亿元（2020-09-30）,13.09%,13.62%,15.25%,64.57%,186.53%,116.90%,田彧龙,1年又226天,170.79%,1年又242天
中融智选对冲3个月定开混合,008848,0.10亿元（2020-09-30）,1.27%,2.70%,2.18%,--,--,0.56%,赵菲,276天,0.58%,5年又243天
华夏睿阳一年持有混合,009011,18.61亿元（2020-09-30）,15.32%,29.18%,35.20%,--,--,72.08%,蔡向阳,298天,72.08%,6年又229天
西部利得新盈混合,673050,3.13亿元（2020-09-30）,13.96%,16.29%,12.83%,40.39%,53.08%,59.20%,韩丽楠,4年又251天,60.00%,5年又160天
鑫元鑫新收益灵活配置混合C,001602,0.00亿元（2020-09-30）,11.00%,13.01%,11.51%,41.56%,43.80%,48.66%,郑文旭/陈令朝,2年又336天,47.27%,2年又339天/3年又2天
华宝宝康配置混合,240002,4.18亿元（2020-09-30）,11.50%,20.99%,24.31%,61.93%,86.28%,1064.77%,汤慧,6天,2.60%,1年又128天
中欧时代智慧混合A,005241,9.06亿元（2020-09-30）,24.56%,43.94%,50.94%,106.01%,--,171.90%,成雨轩,151天,45.92%,1年又224天
中欧瑞丰灵活配置混合C,004740,1.77亿元（2020-09-30）,14.29%,30.88%,34.07%,61.04%,97.72%,111.17%,周蔚文,3年又164天,111.17%,13年又294天
中银顺兴回报一年持有混合C,009346,55.42亿元（2020-09-30）,6.86%,12.19%,13.06%,--,--,17.23%,刘腾/李建,208天,17.23%,3年又105天/13年又145天
万家成长优选混合C,005300,1.01亿元（2020-09-30）,14.14%,24.27%,32.21%,79.63%,--,139.16%,李文宾,2年又344天,139.16%,3年又362天
汇丰晋信慧盈混合,009475,10.70亿元（2020-09-30）,7.10%,8.15%,--,--,--,7.38%,蔡若林/严瑾,141天,8.01%,4年又347天/2年又132天
易方达科汇灵活配置混合,110012,4.41亿元（2020-09-30）,4.65%,11.80%,22.68%,60.06%,75.66%,388.63%,杨嘉文,1年又44天,71.29%,3年又15天
平安新鑫先锋C,001515,0.02亿元（2020-09-30）,16.26%,28.68%,21.63%,69.80%,69.26%,20.19%,张晓泉,107天,31.46%,3年又115天
易方达鑫转增利混合A,005876,0.11亿元（2020-09-30）,8.88%,18.92%,23.58%,41.99%,--,73.08%,杨康,309天,40.77%,1年又65天
中银顺兴回报一年持有混合A,009345,62.84亿元（2020-09-30）,6.93%,12.38%,13.40%,--,--,17.63%,刘腾/李建,208天,17.63%,3年又105天/13年又145天
工银新增益混合,001721,5.16亿元（2020-09-30）,4.44%,8.01%,11.07%,19.04%,21.05%,29.40%,农冰立/李敏,213天,17.32%,2年又203天/7年又94天
蜂巢卓睿灵活配置混合C,006858,0.10亿元（2020-09-30）,17.49%,20.29%,8.66%,34.28%,--,42.22%,伍舟宏/廖新昌,1年又346天,42.22%,1年又346天/1年又346天
中邮核心竞争力灵活配置混合,000545,4.62亿元（2020-09-30）,7.63%,18.24%,27.29%,46.43%,48.53%,76.30%,任慧峰,2年又141天,67.11%,2年又143天
万家智造优势混合C,006133,0.18亿元（2020-09-30）,13.40%,22.16%,25.67%,72.85%,--,166.39%,李文宾,2年又136天,166.39%,3年又362天
新华优选分红混合,519087,15.63亿元（2020-09-30）,7.39%,8.90%,19.95%,69.07%,90.66%,1096.56%,赵强,3年又230天,137.60%,4年又293天
平安新鑫先锋A,000739,0.46亿元（2020-09-30）,16.25%,28.76%,21.88%,70.48%,71.02%,118.90%,张晓泉,107天,31.55%,3年又115天
信诚至远A,550015,2.94亿元（2020-09-30）,17.16%,27.14%,40.95%,105.97%,146.39%,206.40%,刘锐/王睿,1年又24天,122.23%,1年又24天/5年又257天
浙商汇金新兴消费混合,009527,0.51亿元（2020-09-30）,16.52%,21.26%,30.06%,--,--,51.70%,周涛/王凯,216天,49.64%,1年又360天/226天
中欧时代智慧混合C,005242,1.12亿元（2020-09-30）,24.47%,43.65%,50.37%,104.40%,--,165.19%,成雨轩,151天,45.47%,1年又224天
长盛盛世混合C,002157,1.42亿元（2020-09-30）,7.37%,11.25%,13.00%,24.99%,23.33%,41.05%,付海宁/李琪,19天,5.19%,3年又86天/5年又243天
信达澳银健康中国混合,003291,3.33亿元（2020-09-30）,5.99%,11.93%,23.61%,99.02%,135.75%,144.00%,杨珂/曾国富,242天,51.27%,242天/11年又175天
万家成长优选混合A,005299,1.79亿元（2020-09-30）,14.19%,24.44%,32.54%,80.53%,--,142.90%,李文宾,2年又344天,142.90%,3年又362天
景顺长城成长领航混合,009376,46.01亿元（2020-09-30）,4.97%,18.55%,23.36%,--,--,26.00%,杨锐文,227天,26.00%,6年又79天
上投摩根策略精选混合,002654,0.26亿元（2020-09-30）,9.02%,18.94%,21.41%,60.85%,61.84%,57.47%,朱晓龙,2年又56天,105.57%,2年又56天
南方优选成长混合C,005206,5.55亿元（2020-09-30）,10.74%,16.71%,24.97%,65.33%,91.21%,100.89%,骆帅,3年又41天,100.89%,5年又229天
申万菱信新经济混合,310358,10.46亿元（2020-09-30）,12.96%,14.99%,12.56%,50.20%,31.97%,274.28%,付娟/林博程,111天,11.95%,8年又166天/2年又303天
汇丰晋信动态策略混合A,540003,8.54亿元（2020-09-30）,13.48%,32.45%,36.58%,74.19%,98.61%,469.46%,陆彬,225天,74.52%,1年又238天
万家汽车新趋势混合A,006233,0.95亿元（2020-09-30）,15.95%,24.73%,33.14%,84.83%,--,107.08%,李文宾,1年又80天,107.08%,3年又362天
中泰开阳价值优选混合,007549,3.38亿元（2020-09-30）,5.09%,13.63%,28.82%,66.31%,--,82.94%,田瑀/姜诚,1年又127天,82.94%,1年又267天/3年又280天
长盛战略新兴产业混合A,080008,0.15亿元（2020-09-30）,8.52%,14.50%,21.55%,49.41%,31.84%,194.22%,孟棋/杨衡,1年又152天,65.17%,1年又226天/7年又9天
国联安添鑫灵活配置混合C,001654,4.21亿元（2020-09-30）,16.77%,26.51%,41.00%,79.72%,85.82%,118.23%,杨子江/薛琳,1年又173天,106.36%,3年又13天/8年又185天
广发估值优势混合,006136,3.53亿元（2020-09-30）,11.13%,26.62%,29.94%,78.82%,--,189.68%,张东一,2年又112天,189.68%,4年又169天
长信恒利优势混合,519987,0.40亿元（2020-09-30）,11.99%,21.15%,33.55%,91.43%,113.92%,190.43%,刘亮,1年又134天,106.97%,1年又157天
鑫元鑫新收益灵活配置混合A,001601,1.12亿元（2020-09-30）,11.09%,13.27%,11.94%,42.67%,47.13%,54.06%,郑文旭/陈令朝,2年又336天,50.56%,2年又339天/3年又2天
富安达策略精选混合,710002,1.53亿元（2020-09-30）,15.68%,19.82%,13.22%,46.12%,55.31%,320.40%,朱义/李守峰,153天,15.02%,2年又273天/5年又18天
东吴新趋势,001322,2.92亿元（2020-09-30）,12.81%,26.29%,29.47%,77.28%,54.76%,4.77%,刘元海,1年又256天,108.29%,8年又110天
富国研究精选灵活配置混合,000880,5.64亿元（2020-09-30）,7.64%,16.38%,20.69%,64.95%,61.08%,153.70%,刘莉莉/汪孟海,1年又267天,67.02%,2年又184天/5年又95天
中金瑞和A,006277,5.01亿元（2020-09-30）,11.69%,13.07%,12.26%,58.80%,--,65.69%,邱延冰,145天,8.37%,192天
东海科技动力C,007463,0.22亿元（2020-09-30）,16.82%,25.64%,18.13%,65.50%,--,106.01%,李昂/杨红,6天,5.59%,6天/1年又199天
金元顺安优质精选混合C,001375,1.64亿元（2020-09-30）,12.79%,22.95%,25.92%,53.51%,53.11%,69.99%,张博/周博洋,2年又282天,61.04%,2年又282天/2年又350天
天弘永定价值成长混合,420003,7.29亿元（2020-09-30）,12.82%,21.38%,34.52%,72.46%,73.44%,379.59%,刘国江/于洋/田俊维,4天,1.05%,1年又257天/1年又147天/5年又221天
富国天合稳健优选混合,100026,33.64亿元（2020-09-30）,11.73%,22.07%,30.75%,63.72%,86.68%,1118.82%,张啸伟,284天,69.35%,5年又147天
蜂巢卓睿灵活配置混合A,006857,0.15亿元（2020-09-30）,17.53%,20.42%,8.88%,34.83%,--,43.65%,伍舟宏/廖新昌,1年又346天,43.65%,1年又346天/1年又346天
华泰紫金科创3年封闭混合C,501202,10.74亿元（2020-11-09）,18.21%,23.51%,--,--,--,24.34%,刘瑞/俞天甲,158天,24.63%,158天/355天
东吴新经济混合,580006,0.23亿元（2020-09-30）,16.19%,27.37%,26.45%,62.04%,54.54%,103.66%,徐嶒/刘元海,25天,17.83%,5年又245天/8年又110天
宝盈优势产业混合,001487,0.82亿元（2020-09-30）,12.66%,17.30%,16.02%,48.02%,75.08%,143.40%,陈金伟/肖肖,4天,0.38%,50天/4年又4天
天弘创新领航A,009986,12.40亿元（2020-08-28）,-1.01%,-0.14%,--,--,--,-1.39%,陈国光,135天,-1.39%,8年又110天
华富成长趋势混合,410003,11.15亿元（2020-09-30）,6.03%,14.08%,6.12%,67.40%,96.01%,150.35%,陈启明,1年又178天,109.28%,6年又108天
湘财长弘灵活配置混合A,010076,1.27亿元（2020-09-24）,6.83%,15.30%,--,--,--,15.01%,刘勇驿/车广路,81天,16.35%,187天/8年又184天
华安新泰利灵活配置混合C,003800,0.60亿元（2020-09-30）,4.60%,8.64%,13.53%,22.17%,19.97%,30.24%,舒灏/朱才敏,353天,22.07%,2年又193天/6年又53天
南方高端装备灵活配置混合C,005207,0.23亿元（2020-09-30）,25.37%,39.89%,46.99%,90.94%,122.27%,125.65%,张磊/茅炜,338天,80.86%,338天/4年又343天
工银优质精选混合,487021,1.53亿元（2020-09-30）,11.96%,25.60%,34.64%,87.48%,107.97%,244.40%,胡志利,3年又339天,146.18%,5年又147天
湘财长弘灵活配置混合C,010077,0.98亿元（2020-09-24）,6.78%,15.17%,--,--,--,14.87%,刘勇驿/车广路,81天,16.24%,187天/8年又184天
工银新生代消费混合,005526,7.76亿元（2020-09-30）,5.54%,14.49%,23.33%,65.18%,--,135.02%,张玮升/林梦,10天,3.30%,3年又76天/3年又79天
国联安添鑫灵活配置混合A,001359,0.22亿元（2020-09-30）,16.78%,26.55%,41.07%,79.91%,87.88%,122.10%,杨子江/薛琳,1年又173天,107.08%,3年又13天/8年又185天
金信价值精选混合A,005117,1.07亿元（2020-09-30）,0.92%,4.00%,3.93%,50.83%,28.47%,19.55%,周谧,25天,5.68%,2年又312天
华泰紫金科创3年封闭混合A,009663,0.72亿元（2020-09-30）,18.23%,23.58%,--,--,--,24.46%,刘瑞/俞天甲,158天,24.73%,158天/355天
嘉实成长增强混合,001759,11.71亿元（2020-09-30）,11.78%,17.79%,23.13%,62.50%,46.57%,79.40%,陈涛/归凯,162天,14.05%,162天/4年又307天
泰康新机遇混合,001910,39.35亿元（2020-09-30）,9.05%,20.48%,20.50%,61.08%,73.73%,124.21%,金宏伟/任慧娟/桂跃强,3年又14天,79.00%,3年又136天/5年又34天/9年又77天
广发趋势动力混合,006377,0.42亿元（2020-09-30）,13.12%,15.46%,22.11%,54.13%,--,81.38%,蒋科/苗宇,255天,55.52%,255天/5年又334天
汇添富民丰回报混合C,004271,3.28亿元（2020-09-30）,10.95%,15.65%,19.43%,26.70%,41.85%,47.24%,李云鑫/叶盛/赵鹏飞,158天,17.87%,235天/233天/4年又222天
银华富利精选混合,009542,98.86亿元（2020-08-13）,17.22%,21.67%,--,--,--,19.01%,秦锋/焦巍,150天,19.01%,3年又105天/5年又144天
万家智造优势混合A,006132,0.23亿元（2020-09-30）,13.45%,22.33%,25.99%,73.71%,--,171.88%,李文宾,2年又136天,171.88%,3年又362天
广发多因子混合,002943,1.05亿元（2020-09-30）,11.43%,25.23%,26.22%,64.57%,117.41%,139.30%,唐晓斌,2年又200天,116.68%,6年又19天
浙商汇金量化精选混合,006449,4.02亿元（2020-09-30）,12.62%,21.46%,21.56%,62.11%,--,119.06%,周涛,1年又276天,119.10%,1年又360天
易方达鑫转增利混合C,005877,0.68亿元（2020-09-30）,8.82%,18.72%,23.20%,41.13%,--,70.71%,杨康,309天,40.08%,1年又65天
新华鑫动力灵活配置混合A,002083,0.74亿元（2020-09-30）,32.25%,67.90%,64.16%,139.01%,147.73%,157.89%,刘彬,319天,110.52%,1年又319天
泰达宏利品牌升级混合C,007679,0.08亿元（2020-09-30）,19.48%,29.03%,25.98%,66.70%,--,70.10%,庄腾飞,1年又107天,70.10%,5年又243天
信诚至远C,550016,1.62亿元（2020-09-30）,17.13%,27.02%,40.71%,105.27%,145.88%,537.20%,刘锐/王睿,1年又24天,121.43%,1年又24天/5年又257天
易方达科瑞混合,003293,9.52亿元（2020-09-30）,4.29%,11.42%,19.44%,55.44%,87.61%,123.33%,杨嘉文,3年又15天,94.85%,3年又15天
天弘精选混合,420001,9.54亿元（2020-09-30）,8.80%,17.89%,21.82%,44.99%,62.02%,284.41%,于洋/周楷宁/赵鼎龙/谷琦彬,200天,32.67%,1年又147天/361天/1年又57天/2年又252天
信达澳银匠心臻选两年持有期混合,010363,16.77亿元（2020-10-30）,11.63%,--,--,--,--,15.19%,李淑彦/冯明远,72天,15.19%,72天/4年又84天
大摩消费领航混合,233008,1.26亿元（2020-09-30）,6.80%,16.59%,18.79%,44.69%,24.84%,16.79%,王大鹏,2年又17天,112.54%,5年又355天
东方睿鑫热点挖掘混合A,001120,0.20亿元（2020-09-30）,3.27%,20.34%,19.49%,48.30%,34.49%,1.94%,张玉坤,2年又352天,37.89%,4年又148天
民生加银养老服务混合,002547,3.80亿元（2020-09-30）,17.21%,28.36%,38.91%,81.62%,131.71%,180.60%,高松,3年又286天,173.76%,5年又204天
信达澳银量化先锋(LOF)C,166110,0.11亿元（2020-09-30）,11.77%,19.54%,15.90%,--,--,41.65%,王咏辉,341天,41.65%,7年又266天
富国绝对收益多策略混合C,009149,0.93亿元（2020-09-30）,1.36%,-0.59%,2.52%,--,--,8.85%,于鹏,293天,8.85%,5年又47天
鹏华精选回报三年定开混合,160645,4.06亿元（2020-09-30）,15.74%,28.59%,35.21%,99.89%,--,119.96%,王宗合,1年又200天,119.96%,10年又16天
汇添富民丰回报混合A,004270,3.33亿元（2020-09-30）,10.98%,15.77%,19.67%,27.21%,42.14%,47.77%,李云鑫/叶盛/赵鹏飞,158天,18.07%,235天/233天/4年又222天
交银新成长混合,519736,105.86亿元（2020-09-30）,13.04%,18.62%,25.94%,62.91%,115.93%,441.20%,王崇,5年又234天,154.92%,6年又82天
诺安汇利灵活配置混合C,005902,0.00亿元（2020-09-30）,1.92%,22.12%,21.11%,42.75%,--,62.04%,谢志华,2年又184天,62.04%,9年又266天
景顺长城创新成长混合,006435,35.52亿元（2020-09-30）,4.97%,20.78%,24.30%,67.09%,--,80.44%,杨锐文,1年又86天,80.44%,6年又79天
融通通乾研究精选混合,002989,18.23亿元（2020-09-30）,15.22%,20.60%,33.56%,78.30%,83.71%,144.03%,邹曦,1年又9天,72.86%,13年又37天
富国价值增长混合,010109,59.95亿元（2020-09-14）,11.82%,13.71%,--,--,--,13.81%,方纬,118天,13.81%,6年又41天
中欧量化驱动混合,001980,2.11亿元（2020-09-30）,9.57%,19.25%,23.73%,35.48%,--,49.56%,曲径,1年又93天,43.22%,5年又239天
易方达环保主题混合,001856,7.88亿元（2020-09-30）,14.87%,33.25%,52.23%,113.26%,197.22%,231.40%,祁禾,2年又218天,221.75%,3年又15天
光大红利混合,360005,5.01亿元（2020-09-30）,11.03%,13.63%,15.40%,60.05%,49.39%,730.26%,徐晓杰,80天,12.11%,5年又136天
华夏翔阳两年定开混合,501093,38.00亿元（2020-12-31）,15.70%,30.59%,43.51%,--,--,89.95%,蔡向阳,310天,89.95%,6年又229天
浙商汇金转型驱动,001540,2.09亿元（2020-09-30）,17.14%,25.43%,18.41%,77.42%,89.08%,52.40%,周涛,1年又355天,156.13%,1年又360天
中信建投医药健康A,010090,5.25亿元（2020-09-24）,4.72%,4.88%,--,--,--,4.88%,谢玮/栾江伟,108天,4.88%,2年又220天/4年又320天
易方达中小盘混合,110011,281.42亿元（2020-09-30）,16.00%,35.63%,48.41%,101.91%,170.88%,1123.47%,张坤,8年又106天,761.66%,8年又106天
华宝智慧产业混合,004480,1.65亿元（2020-09-30）,17.11%,25.05%,32.12%,64.39%,49.97%,75.26%,王正,6天,3.86%,1年又9天
民生加银红利回报混合,690009,2.45亿元（2020-09-30）,15.54%,25.02%,36.39%,70.14%,90.22%,357.95%,王亮,1年又288天,99.78%,3年又69天
泰信互联网+混合,001978,0.56亿元（2020-09-30）,16.15%,27.16%,25.06%,61.16%,89.70%,97.10%,钱鑫,4年又217天,97.10%,6年又237天
国金鑫意医药消费C,009508,1.96亿元（2020-09-30）,10.65%,14.99%,18.96%,--,--,19.01%,张航,194天,19.01%,1年又270天
长信量化价值驱动混合C,009669,1.57亿元（2020-09-30）,13.16%,21.70%,22.29%,--,--,47.95%,左金保,215天,47.95%,5年又305天
信达澳银量化先锋(LOF)A,166109,2.24亿元（2020-09-30）,11.85%,19.80%,16.38%,--,--,42.67%,王咏辉,341天,42.67%,7年又266天
广发消费品精选混合A,270041,7.47亿元（2020-09-30）,11.33%,21.21%,30.80%,68.51%,89.37%,430.80%,李琛,250天,57.18%,13年又215天
广发消费品精选混合C,010022,0.00亿元（2020-09-30）,11.27%,21.10%,--,--,--,22.19%,李琛,108天,22.19%,13年又215天
诺安中小盘精选混合,320011,4.57亿元（2020-09-30）,8.10%,17.08%,26.55%,43.29%,45.68%,369.54%,韩冬燕,4年又120天,80.77%,5年又68天
国金鑫意医药消费A,009507,4.53亿元（2020-09-30）,10.69%,15.14%,19.27%,--,--,19.32%,张航,194天,19.32%,1年又270天
泰达宏利品牌升级混合A,007678,0.94亿元（2020-09-30）,19.50%,29.17%,26.22%,67.26%,--,70.82%,庄腾飞,1年又107天,70.82%,5年又243天
南方益和混合,002293,1.50亿元（2020-09-30）,11.52%,22.42%,25.56%,70.21%,121.62%,139.35%,黄春逢,1年又110天,88.88%,5年又13天
华富价值增长混合,410007,1.95亿元（2020-09-30）,8.39%,19.50%,10.64%,70.62%,104.89%,324.98%,陈启明,6年又95天,274.17%,6年又108天
上投摩根内需动力混合,377020,28.36亿元（2020-09-30）,18.86%,26.82%,30.22%,89.54%,77.96%,245.89%,刘辉,1年又260天,129.13%,8年又305天
易方达高端制造混合,009049,41.83亿元（2020-09-30）,13.86%,30.07%,43.68%,--,--,67.30%,祁禾,300天,67.30%,3年又15天
前海联合泳涛混合A,004634,1.29亿元（2020-09-30）,17.37%,28.22%,37.93%,85.73%,122.55%,141.80%,何杰,304天,76.35%,2年又274天
南方科技创新混合C,007341,0.23亿元（2020-09-30）,9.93%,17.88%,15.71%,70.72%,--,159.51%,王博/茅炜,1年又61天,99.92%,1年又61天/4年又343天
汇添富策略回报混合,470008,53.60亿元（2020-09-30）,10.31%,15.27%,22.52%,79.27%,115.75%,322.89%,顾耀强,11年又22天,322.89%,11年又22天
银华丰享一年持有期混合,009085,19.89亿元（2020-09-30）,7.92%,11.63%,10.50%,--,--,20.40%,李晓星/倪明,255天,20.40%,5年又189天/12年又209天
长盛中小盘精选混合,080015,0.75亿元（2020-09-30）,11.31%,16.63%,16.50%,40.26%,31.98%,7.30%,陈亘斯,1年又225天,54.61%,1年又226天
永赢消费主题A,006252,3.92亿元（2020-09-30）,18.16%,40.96%,60.55%,108.17%,--,253.23%,常远,338天,104.66%,4年又2天
东方睿鑫热点挖掘混合C,001121,1.00亿元（2020-09-30）,3.21%,20.07%,19.02%,47.11%,29.36%,-4.69%,张玉坤,2年又352天,32.71%,4年又148天
恒生前海消费升级混合,007277,1.53亿元（2020-09-30）,17.55%,29.25%,33.94%,--,--,48.22%,郑栋,357天,48.22%,357天
大摩多因子策略混合,233009,10.70亿元（2020-09-30）,14.81%,21.09%,21.41%,58.77%,37.91%,229.15%,余斌,1年又140天,73.47%,6年又140天
国投瑞银先进制造混合,006736,1.53亿元（2020-09-30）,19.83%,39.49%,42.32%,105.41%,--,195.56%,施成,338天,90.11%,1年又288天
永赢消费主题C,006253,1.04亿元（2020-09-30）,18.14%,40.89%,60.39%,107.76%,--,251.26%,常远,338天,104.29%,4年又2天
前海联合泳涛混合C,007041,0.00亿元（2020-09-30）,17.33%,28.09%,37.67%,84.96%,--,128.11%,何杰,304天,75.77%,2年又274天
北信瑞丰华丰灵配,005376,1.72亿元（2020-09-30）,9.26%,14.37%,14.75%,27.48%,--,55.70%,黄祥斌,1年又246天,34.90%,6年又11天
南方优选成长混合A,202023,28.25亿元（2020-09-30）,10.82%,16.94%,25.45%,66.64%,97.27%,412.10%,骆帅,5年又186天,207.94%,5年又229天
广发百发大数据价值混合A,001731,0.20亿元（2020-09-30）,10.22%,21.61%,25.77%,54.63%,33.99%,43.50%,赵杰,1年又143天,67.25%,2年又196天
银华多元视野灵活配置混合,002307,5.69亿元（2020-09-30）,14.65%,25.25%,31.51%,86.54%,127.00%,195.10%,郭思捷/贾鹏,48天,16.46%,165天/6年又138天
中金量化多策略混合,003582,1.67亿元（2020-09-30）,12.28%,13.45%,17.19%,44.62%,65.08%,76.80%,刘重晋,1年又327天,96.45%,3年又162天
景顺长城公司治理混合,260111,0.60亿元（2020-09-30）,6.16%,21.08%,26.89%,56.02%,72.61%,283.89%,杨锐文,168天,31.47%,6年又79天
