基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
工银养老产业股票,001171,39.26亿元（2020-09-30）,13.22%,15.67%,10.55%,91.52%,133.50%,87.50%,谭冬寒/赵蓓,1年又40天,102.48%,4年又131天/6年又55天
工银医疗保健股票,000831,44.56亿元（2020-09-30）,15.99%,17.20%,14.51%,83.05%,133.22%,248.90%,谭冬寒/赵蓓,2年又136天,137.83%,4年又131天/6年又55天
安信量化优选股票C,006347,0.09亿元（2020-09-30）,0.08%,3.93%,5.06%,38.27%,--,98.05%,施荣盛,355天,37.60%,363天
泰达宏利业绩股票A,004484,0.70亿元（2020-09-30）,9.68%,17.02%,15.49%,40.74%,60.72%,71.42%,刘洋,1年又348天,99.49%,2年又154天
上投摩根优选多因子股票,004606,0.20亿元（2020-09-30）,8.22%,18.30%,15.76%,38.92%,51.34%,61.36%,胡迪,3天,-0.60%,3天
汇添富开放优势6个月持有期股票C,009551,25.20亿元（2020-09-30）,11.59%,20.04%,--,--,--,19.80%,劳杰男,172天,19.80%,5年又186天
广发高端制造股票C,010160,0.18亿元（2020-09-30）,9.42%,25.60%,--,--,--,26.94%,郑澄然/孙迪,116天,26.94%,235天/3年又28天
鹏扬元合量化大盘C,007138,0.26亿元（2020-09-30）,16.38%,36.90%,36.23%,54.25%,--,62.10%,施红俊,174天,39.06%,1年又135天
广发医疗保健股票C,009163,12.47亿元（2020-09-30）,13.44%,17.03%,16.86%,--,--,89.59%,吴兴武,298天,89.59%,5年又334天
民生加银品质消费股票A,007965,0.52亿元（2020-09-30）,17.16%,29.45%,40.30%,--,--,61.37%,高松,262天,61.37%,5年又204天
南方国策动力,001692,2.67亿元（2020-09-30）,17.52%,18.54%,26.01%,72.70%,128.44%,150.14%,罗安安,2年又197天,148.17%,5年又186天
前海开源中药股票A,005505,0.17亿元（2020-09-30）,4.37%,1.47%,-1.05%,22.04%,--,76.69%,范洁,1年又33天,24.19%,3年又128天
鹏扬元合量化大盘A,007137,0.08亿元（2020-09-30）,16.47%,37.20%,36.79%,55.51%,--,66.47%,施红俊,174天,39.59%,1年又135天
中融竞争优势,003145,0.97亿元（2020-09-30）,14.20%,18.18%,26.05%,80.74%,86.42%,75.61%,柯海东,1年又348天,186.94%,4年又236天
前海开源中药股票C,005506,0.32亿元（2020-09-30）,4.34%,1.40%,-1.17%,21.71%,--,75.95%,范洁,1年又33天,23.83%,3年又128天
金信消费升级股票C,006693,0.07亿元（2020-09-30）,15.02%,29.39%,29.72%,81.19%,--,141.44%,周谧,66天,16.07%,2年又312天
华夏能源革新股票,003834,20.80亿元（2020-09-30）,40.57%,81.84%,85.78%,129.14%,159.41%,200.40%,郑泽鸿,3年又218天,200.40%,3年又218天
民生加银品质消费股票C,007966,0.33亿元（2020-09-30）,17.11%,29.31%,40.02%,--,--,60.91%,高松,262天,60.91%,5年又204天
招商研究优选股票C,008262,2.00亿元（2020-09-30）,16.87%,21.18%,41.26%,--,--,56.11%,贾成东,264天,56.11%,5年又345天
招商体育文化休闲股票,001628,0.45亿元（2020-09-30）,14.70%,15.57%,20.30%,54.29%,78.21%,52.90%,文仲阳/李佳存,39天,17.62%,235天/5年又347天
金鹰量化精选股票(LOF),162107,0.09亿元（2020-09-30）,13.69%,18.83%,16.32%,36.07%,22.85%,70.63%,杨刚/乔春,12天,10.15%,1年又97天/4年又241天
国富健康优质生活股票,000761,6.28亿元（2020-09-30）,10.60%,20.94%,24.92%,67.41%,67.81%,107.75%,王晓宁,6年又111天,107.75%,7年又166天
广发资源优选股票A,005402,1.62亿元（2020-09-30）,20.61%,29.70%,40.82%,85.36%,94.56%,121.04%,观富钦/孙迪,1年又122天,120.62%,2年又332天/3年又28天
广发资源优选股票C,010235,0.00亿元（2020-09-30）,20.56%,29.60%,--,--,--,30.84%,孙迪/观富钦,108天,30.84%,3年又28天/2年又332天
嘉实文体娱乐股票A,003053,1.65亿元（2020-09-30）,11.78%,17.52%,8.65%,26.61%,64.27%,78.40%,王贵重/张丹华,142天,16.83%,1年又249天/5年又242天
新华策略精选股票,001040,8.81亿元（2020-09-30）,6.85%,7.59%,19.24%,75.41%,101.79%,133.47%,赵强,3年又230天,151.86%,4年又293天
诺安先进制造股票,001528,1.71亿元（2020-09-30）,9.79%,20.25%,33.33%,53.19%,63.72%,150.00%,韩冬燕,5年又52天,148.51%,5年又68天
汇添富开放优势6个月持有期股票A,009550,144.11亿元（2020-09-30）,11.65%,20.29%,--,--,--,20.24%,劳杰男,172天,20.24%,5年又186天
上银内需增长股票,009899,2.99亿元（2020-08-24）,7.28%,10.60%,--,--,--,10.56%,赵治烨,139天,10.56%,5年又244天
太平行业优选股票C,009538,0.94亿元（2020-09-01）,15.38%,25.36%,--,--,--,22.78%,林开盛,131天,22.78%,3年又247天
中金新锐股票A,920003,7.93亿元（2020-09-30）,4.13%,20.16%,15.26%,--,--,46.61%,韩庆,278天,46.61%,278天
工银文体产业股票A,001714,105.00亿元（2020-09-30）,12.31%,21.51%,30.72%,82.17%,158.63%,293.89%,袁芳,2年又53天,186.89%,5年又13天
融通产业趋势臻选股票,009891,18.81亿元（2020-08-17）,3.21%,4.99%,--,--,--,2.28%,彭炜,146天,2.28%,3年又159天
嘉实文体娱乐股票C,003054,0.88亿元（2020-09-30）,11.81%,17.44%,8.42%,26.06%,62.13%,75.10%,王贵重/张丹华,142天,16.66%,1年又249天/5年又242天
华夏研究精选股票,004686,4.82亿元（2020-09-30）,11.27%,22.83%,24.01%,59.15%,84.31%,86.84%,刘文成,18天,10.18%,18天
汇丰晋信低碳先锋股票,540008,30.38亿元（2020-09-30）,30.83%,64.43%,64.55%,124.50%,118.90%,272.78%,陆彬,1年又126天,213.21%,1年又238天
泰康蓝筹优势一年持有股票,009240,8.77亿元（2020-08-14）,13.95%,23.53%,--,--,--,21.90%,桂跃强,149天,21.90%,9年又77天
国投瑞银研究精选股票,001520,1.90亿元（2020-09-30）,11.46%,28.28%,33.27%,82.03%,94.92%,95.50%,桑俊,3年又41天,95.50%,6年又39天
北信瑞丰研究精选,004352,0.45亿元（2020-09-30）,15.41%,24.10%,22.96%,47.13%,58.07%,63.82%,程敏,223天,42.73%,2年又291天
广发研究精选股票A,010112,49.41亿元（2020-11-04）,6.15%,--,--,--,--,6.71%,孙迪,67天,6.71%,3年又28天
长信量化多策略股票A,519965,1.47亿元（2020-09-30）,14.12%,21.91%,21.83%,59.31%,55.86%,102.00%,左金保,2年又126天,98.43%,5年又305天
长盛医疗行业量化配置股票,002300,1.20亿元（2020-09-30）,14.43%,15.61%,25.10%,99.00%,137.51%,157.70%,周思聪,1年又233天,147.79%,6年又214天
华泰紫金智能量化股票发起,005502,0.43亿元（2020-09-30）,14.88%,25.43%,24.29%,52.64%,--,57.39%,毛甜,58天,18.42%,3年又30天
中金新锐股票C,920923,1.74亿元（2020-09-30）,4.09%,20.00%,14.97%,--,--,45.41%,韩庆,278天,45.41%,278天
融通产业趋势股票,008382,8.23亿元（2020-09-30）,16.90%,23.55%,31.16%,--,--,38.11%,邹曦,246天,38.11%,13年又37天
工银文体产业股票C,010687,--亿元（--）,12.28%,--,--,--,--,12.31%,袁芳,48天,12.31%,5年又13天
富国城镇发展股票,000471,8.71亿元（2020-09-30）,10.49%,19.38%,31.44%,66.67%,44.07%,220.02%,蒲世林,1年又362天,162.35%,2年又23天
广发研究精选股票C,010113,10.11亿元（2020-11-04）,6.11%,--,--,--,--,6.64%,孙迪,67天,6.64%,3年又28天
太平行业优选股票A,009537,1.50亿元（2020-09-01）,15.43%,25.54%,--,--,--,23.00%,林开盛,131天,23.00%,3年又247天
工银前沿医疗股票C,010685,--亿元（--）,15.67%,--,--,--,--,21.52%,谭冬寒/赵蓓,48天,21.52%,4年又131天/6年又55天
中银大健康股票C,010321,--亿元（--）,10.87%,--,--,--,--,10.00%,刘潇,86天,10.00%,2年又212天
南方高股息股票C,008737,0.31亿元（2020-09-30）,9.53%,16.40%,--,--,--,16.17%,黄春逢/张原,170天,16.17%,5年又13天/11年又110天
光大消费主题股票,008234,3.31亿元（2020-09-30）,11.29%,30.58%,43.14%,--,--,71.72%,马鹏飞/魏晓雪,261天,71.75%,261天/8年又58天
中银智能制造股票,001476,12.39亿元（2020-09-30）,23.08%,36.22%,59.28%,123.07%,107.30%,76.00%,王伟,5年又207天,76.00%,5年又335天
