基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
交银中债1-3年农发债指数A,006745,39.43亿元（2020-09-30）,0.80%,1.33%,1.31%,2.67%,--,5.88%,季参平/魏玉敏,1年又154天,4.21%,1年又169天/2年又135天
创金合信中债1-3年政金债A,005838,4.01亿元（2020-09-30）,0.85%,1.34%,1.61%,--,--,1.59%,吕沂洋/闫一帆,223天,1.53%,1年又22天/3年又115天
易方达中债新综指(LOF)C,161120,0.44亿元（2020-09-30）,0.88%,1.12%,1.17%,2.44%,15.13%,41.02%,杨真/王晓晨,43天,1.13%,43天/9年又151天
中金中债1-3年政金债A,008156,1.01亿元（2020-09-30）,0.64%,1.09%,1.24%,2.25%,--,2.28%,石玉,1年又17天,2.28%,4年又179天
易方达中债新综指(LOF)A,161119,4.33亿元（2020-09-30）,0.91%,1.21%,1.34%,2.79%,16.18%,44.22%,杨真/王晓晨,43天,1.16%,43天/9年又151天
上银中债1-3年农发行债券指数,007390,42.03亿元（2020-09-30）,0.69%,1.17%,1.01%,2.15%,--,3.92%,高永,52天,0.95%,4年又15天
大成中债1-3年国开债指数C,007947,0.00亿元（2020-09-30）,0.79%,1.34%,1.35%,1.95%,--,2.84%,方锐/方孝成,68天,1.01%,125天/3年又64天
永赢中债1-3年政金债指数,006925,36.62亿元（2020-09-30）,0.91%,1.45%,1.37%,2.47%,--,5.68%,杨野/江凌,37天,1.01%,128天/1年又45天
创金合信中债1-3年政金债C,005839,0.00亿元（2020-09-30）,0.07%,0.58%,0.84%,--,--,0.81%,吕沂洋/闫一帆,223天,0.75%,1年又22天/3年又115天
安信中债1-3年政策性金融债C,010407,1.00亿元（2020-11-25）,9.28%,--,--,--,--,9.33%,潘巍,46天,9.33%,2年又121天
南方1-5年国开债A,008256,10.73亿元（2020-09-30）,1.00%,1.62%,1.78%,--,--,1.28%,朱佳/董浩/夏晨曦,233天,1.19%,233天/5年又123天/8年又176天
浦银安盛上清所优选短融C,007065,0.04亿元（2020-09-30）,0.49%,1.15%,1.49%,2.63%,--,3.97%,刘大巍,1年又177天,3.97%,4年又147天
广发中债1-3年农发债指数C,005624,0.02亿元（2020-09-30）,0.73%,1.27%,1.49%,2.54%,--,14.61%,李伟,1年又74天,3.54%,2年又128天
鹏华中债1-3年国开行债A,007000,80.70亿元（2020-09-30）,0.77%,1.32%,1.42%,2.79%,--,5.96%,李振宇,1年又304天,5.96%,4年又14天
前海开源1-3年国开债C,007766,0.00亿元（2020-09-30）,0.74%,1.30%,1.37%,2.68%,--,3.97%,李炳智,1年又136天,3.97%,3年又351天
华安中债1-3年政策金融债C,007181,0.00亿元（2020-09-30）,0.92%,1.49%,1.52%,2.41%,--,5.11%,林唐宇,76天,1.22%,362天
华宝中债1-3年国开行债券指数,009757,16.20亿元（2020-09-18）,0.48%,0.94%,--,--,--,1.01%,林昊,114天,1.01%,3年又300天
鹏华中债1-3年农发行债券指数C,009703,0.00亿元（2020-08-17）,0.57%,1.01%,--,--,--,1.26%,李振宇,146天,1.26%,4年又14天
浦银安盛中债1-3年国开债A,009035,46.12亿元（2020-09-30）,0.71%,1.25%,1.50%,--,--,1.48%,李羿,200天,1.48%,6年又119天
长盛中债1-3年政策性金融债A,008679,2.66亿元（2020-09-30）,0.69%,1.26%,1.62%,--,--,1.71%,王赛飞,205天,1.71%,2年又203天
汇添富中债1-3年国开债C,007098,0.03亿元（2020-09-30）,0.87%,1.45%,1.54%,2.98%,--,5.58%,何旻,1年又271天,5.58%,12年又203天
汇添富中债1-3年农发债A,007289,51.16亿元（2020-09-30）,0.87%,1.36%,1.28%,3.01%,--,5.02%,杨靖,186天,1.28%,1年又323天
银华中债1-3年国开行债券,008677,43.96亿元（2020-09-30）,0.77%,1.32%,1.39%,2.18%,--,2.28%,赵旭东,1年又16天,2.28%,1年又67天
